,pdbID,interface_id,ligands,fda_approved,num_interfaces,num_ligands,fda,interface_str,ligand_str
16,1A5S,['1A5S_A_B'],['FIP'],[0.0],1,1,No,1A5S_A_B,FIP
17,1A69,['1A69_A_C'],['FMB'],[0.0],1,1,No,1A69_A_C,FMB
18,1A6A,"['1A6A_A_B', '1A6A_A_C']","['NAG', 'NAG']","[1.0, 1.0]",2,2,Yes,"1A6A_A_B, 1A6A_A_C","NAG, NAG"
19,1A6J,['1A6J_A_B'],['BME'],[1.0],1,1,Yes,1A6J_A_B,BME
20,1A78,['1A78_A_B'],['DTT'],[1.0],1,1,Yes,1A78_A_B,DTT
21,1A7C,"['1A7C_A_B', '1A7C_A_B']","['RIP', 'NAG']","[0.0, 1.0]",2,2,Yes,"1A7C_A_B, 1A7C_A_B","RIP, NAG"
22,1A8J,['1A8J_H_L'],['PME'],[0.0],1,1,No,1A8J_H_L,PME
23,1A8R,"['1A8R_A_B', '1A8R_F_G']","['GTP', 'GTP']","[1.0, 1.0]",2,2,Yes,"1A8R_A_B, 1A8R_F_G","GTP, GTP"
24,1A95,"['1A95_A_B', '1A95_A_B', '1A95_B_C', '1A95_B_C']","['BO3', 'GUN', 'BO3', 'GUN']","[1.0, 0.0, 1.0, 0.0]",4,4,Yes,"1A95_A_B, 1A95_A_B, 1A95_B_C, 1A95_B_C","BO3, GUN, BO3, GUN"
25,1A96,"['1A96_A_B', '1A96_A_B', '1A96_B_C', '1A96_B_C']","['BO3', 'XAN', 'BO3', 'XAN']","[1.0, 0.0, 1.0, 0.0]",4,4,Yes,"1A96_A_B, 1A96_A_B, 1A96_B_C, 1A96_B_C","BO3, XAN, BO3, XAN"
26,1A97,"['1A97_A_B', '1A97_A_B', '1A97_B_C', '1A97_B_C']","['5GP', 'BO3', '5GP', 'BO3']","[1.0, 1.0, 1.0, 1.0]",4,4,Yes,"1A97_A_B, 1A97_A_B, 1A97_B_C, 1A97_B_C","5GP, BO3, 5GP, BO3"
27,1A9C,"['1A9C_A_B', '1A9C_F_G']","['GTP', 'GTP']","[1.0, 1.0]",2,2,Yes,"1A9C_A_B, 1A9C_F_G","GTP, GTP"
28,1A9W,"['1A9W_A_C', '1A9W_A_E', '1A9W_A_F', '1A9W_C_E']","['CMO', 'CMO', 'CMO', 'CMO']","[0.0, 0.0, 0.0, 0.0]",4,4,No,"1A9W_A_C, 1A9W_A_E, 1A9W_A_F, 1A9W_C_E","CMO, CMO, CMO, CMO"
29,1AAQ,['1AAQ_A_B'],['PSI'],[0.0],1,1,No,1AAQ_A_B,PSI
30,1AB8,['1AB8_A_B'],['FOK'],[0.0],1,1,No,1AB8_A_B,FOK
31,1ABB,['1ABB_A_B'],['IMP'],[1.0],1,1,Yes,1ABB_A_B,IMP
32,1ABR,"['1ABR_A_B', '1ABR_A_B']","['BGC', 'NDG']","[1.0, 1.0]",2,2,Yes,"1ABR_A_B, 1ABR_A_B","BGC, NDG"
33,1AF6,"['1AF6_A_B', '1AF6_A_C']","['FRU', 'FRU']","[0.0, 0.0]",2,2,No,"1AF6_A_B, 1AF6_A_C","FRU, FRU"
34,1AGR,['1AGR_A_D'],['CIT'],[1.0],1,1,Yes,1AGR_A_D,CIT
35,1AHF,['1AHF_A_B'],['IOP'],[0.0],1,1,No,1AHF_A_B,IOP
36,1AHI,['1AHI_A_B'],['CHO'],[0.0],1,1,No,1AHI_A_B,CHO
37,1AHV,['1AHV_A_B'],['NCR'],[0.0],1,1,No,1AHV_A_B,NCR
38,1AHX,['1AHX_A_B'],['HCI'],[0.0],1,1,No,1AHX_A_B,HCI
39,1AHY,['1AHY_A_B'],['MAE'],[0.0],1,1,No,1AHY_A_B,MAE
40,1AHZ,['1AHZ_A_B'],['EPT'],[0.0],1,1,No,1AHZ_A_B,EPT
41,1AI0,"['1AI0_A_B', '1AI0_B_D', '1AI0_E_F']","['IPH', 'IPH', 'IPH']","[1.0, 1.0, 1.0]",3,3,Yes,"1AI0_A_B, 1AI0_B_D, 1AI0_E_F","IPH, IPH, IPH"
42,1AI4,['1AI4_A_B'],['DHY'],[1.0],1,1,Yes,1AI4_A_B,DHY
43,1AI5,['1AI5_A_B'],['MNP'],[0.0],1,1,No,1AI5_A_B,MNP
44,1AI7,['1AI7_A_B'],['IPH'],[1.0],1,1,Yes,1AI7_A_B,IPH
45,1AIB,['1AIB_A_B'],['AKG'],[1.0],1,1,Yes,1AIB_A_B,AKG
46,1AIJ,"['1AIJ_H_M', '1AIJ_L_M']","['LDA', 'LDA']","[1.0, 1.0]",2,2,Yes,"1AIJ_H_M, 1AIJ_L_M","LDA, LDA"
47,1AIQ,"['1AIQ_A_B', '1AIQ_A_B']","['CB3', 'UMP']","[0.0, 1.0]",2,2,Yes,"1AIQ_A_B, 1AIQ_A_B","CB3, UMP"
48,1AIY,"['1AIY_A_B', '1AIY_B_D', '1AIY_E_F', '1AIY_F_H']","['IPH', 'IPH', 'IPH', 'IPH']","[1.0, 1.0, 1.0, 1.0]",4,4,Yes,"1AIY_A_B, 1AIY_B_D, 1AIY_E_F, 1AIY_F_H","IPH, IPH, IPH, IPH"
49,1AJ8,['1AJ8_A_B'],['CIT'],[1.0],1,1,Yes,1AJ8_A_B,CIT
50,1AJ9,['1AJ9_A_B'],['CMO'],[0.0],1,1,No,1AJ9_A_B,CMO
51,1AJX,['1AJX_A_B'],['AH1'],[0.0],1,1,No,1AJX_A_B,AH1
52,1AKE,['1AKE_A_B'],['AP5'],[0.0],1,1,No,1AKE_A_B,AP5
53,1AL2,"['1AL2_0_4', '1AL2_3_4']","['MYR', 'MYR']","[1.0, 1.0]",2,2,Yes,"1AL2_0_4, 1AL2_3_4","MYR, MYR"
54,1AL4,['1AL4_A_B'],['POL'],[1.0],1,1,Yes,1AL4_A_B,POL
55,1ALX,['1ALX_A_B'],['MOH'],[0.0],1,1,No,1ALX_A_B,MOH
56,1ALZ,['1ALZ_A_B'],['EOH'],[1.0],1,1,Yes,1ALZ_A_B,EOH
57,1AM4,['1AM4_A_D'],['GNP'],[1.0],1,1,Yes,1AM4_A_D,GNP
58,1AN5,['1AN5_A_B'],['CB3'],[0.0],1,1,No,1AN5_A_B,CB3
59,1AN9,['1AN9_A_B'],['BE2'],[0.0],1,1,No,1AN9_A_B,BE2
60,1AO0,['1AO0_A_B'],['5GP'],[1.0],1,1,Yes,1AO0_A_B,5GP
61,1AO5,['1AO5_A_B'],['NAG'],[1.0],1,1,Yes,1AO5_A_B,NAG
62,1APH,['1APH_A_B'],['DCE'],[0.0],1,1,No,1APH_A_B,DCE
63,1APY,"['1APY_A_B', '1APY_C_D']","['NAG', 'NAG']","[1.0, 1.0]",2,2,Yes,"1APY_A_B, 1APY_C_D","NAG, NAG"
64,1APZ,"['1APZ_A_B', '1APZ_C_D']","['NAG', 'NAG']","[1.0, 1.0]",2,2,Yes,"1APZ_A_B, 1APZ_C_D","NAG, NAG"
65,1AQ6,['1AQ6_A_B'],['FMT'],[1.0],1,1,Yes,1AQ6_A_B,FMT
66,1AQL,"['1AQL_A_B', '1AQL_A_B']","['NAG', 'TCH']","[1.0, 1.0]",2,2,Yes,"1AQL_A_B, 1AQL_A_B","NAG, TCH"
67,1AQU,"['1AQU_A_B', '1AQU_A_B']","['A3P', 'EST']","[1.0, 1.0]",2,2,Yes,"1AQU_A_B, 1AQU_A_B","A3P, EST"
68,1AR1,['1AR1_A_B'],['LDA'],[1.0],1,1,Yes,1AR1_A_B,LDA
69,1AR6,"['1AR6_0_4', '1AR6_3_4']","['MYR', 'MYR']","[1.0, 1.0]",2,2,Yes,"1AR6_0_4, 1AR6_3_4","MYR, MYR"
70,1AR7,"['1AR7_0_4', '1AR7_3_4']","['MYR', 'MYR']","[1.0, 1.0]",2,2,Yes,"1AR7_0_4, 1AR7_3_4","MYR, MYR"
71,1AR8,"['1AR8_0_4', '1AR8_3_4']","['MYR', 'MYR']","[1.0, 1.0]",2,2,Yes,"1AR8_0_4, 1AR8_3_4","MYR, MYR"
72,1AR9,"['1AR9_0_4', '1AR9_3_4']","['MYR', 'MYR']","[1.0, 1.0]",2,2,Yes,"1AR9_0_4, 1AR9_3_4","MYR, MYR"
73,1ARI,['1ARI_A_B'],['MAE'],[0.0],1,1,No,1ARI_A_B,MAE
74,1ARZ,"['1ARZ_A_C', '1ARZ_A_D', '1ARZ_B_C', '1ARZ_B_D']","['PDC', 'PDC', 'PDC', 'PDC']","[0.0, 0.0, 0.0, 0.0]",4,4,No,"1ARZ_A_C, 1ARZ_A_D, 1ARZ_B_C, 1ARZ_B_D","PDC, PDC, PDC, PDC"
75,1ASJ,"['1ASJ_0_4', '1ASJ_3_4']","['MYR', 'MYR']","[1.0, 1.0]",2,2,Yes,"1ASJ_0_4, 1ASJ_3_4","MYR, MYR"
76,1ASM,['1ASM_A_B'],['MAE'],[0.0],1,1,No,1ASM_A_B,MAE
77,1AV5,['1AV5_A_B'],['AP2'],[0.0],1,1,No,1AV5_A_B,AP2
78,1AVB,['1AVB_A_B'],['NAG'],[1.0],1,1,Yes,1AVB_A_B,NAG
79,1AW1,['1AW1_A_B'],['PGA'],[0.0],1,1,No,1AW1_A_B,PGA
80,1AXD,['1AXD_A_B'],['GGL'],[1.0],1,1,Yes,1AXD_A_B,GGL
81,1AXW,"['1AXW_A_B', '1AXW_A_B']","['MTX', 'UMP']","[1.0, 1.0]",2,2,Yes,"1AXW_A_B, 1AXW_A_B","MTX, UMP"
82,1AY5,['1AY5_A_B'],['MAE'],[0.0],1,1,No,1AY5_A_B,MAE
83,1AY8,['1AY8_A_B'],['HCI'],[0.0],1,1,No,1AY8_A_B,HCI
84,1AYA,"['1AYA_A_P', '1AYA_B_Q']","['PTR', 'PTR']","[1.0, 1.0]",2,2,Yes,"1AYA_A_P, 1AYA_B_Q","PTR, PTR"
85,1AYB,['1AYB_A_P'],['PTR'],[1.0],1,1,Yes,1AYB_A_P,PTR
86,1AYM,"['1AYM_1_2', '1AYM_1_2', '1AYM_1_3', '1AYM_1_3', '1AYM_1_4', '1AYM_1_4', '1AYM_3_4', '1AYM_3_4']","['DAO', 'MYR', 'DAO', 'MYR', 'DAO', 'MYR', 'DAO', 'MYR']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",8,8,Yes,"1AYM_1_2, 1AYM_1_2, 1AYM_1_3, 1AYM_1_3, 1AYM_1_4, 1AYM_1_4, 1AYM_3_4, 1AYM_3_4","DAO, MYR, DAO, MYR, DAO, MYR, DAO, MYR"
87,1AYN,"['1AYN_1_2', '1AYN_1_2', '1AYN_1_3', '1AYN_1_3', '1AYN_1_4', '1AYN_1_4', '1AYN_3_4', '1AYN_3_4']","['DAO', 'MYR', 'DAO', 'MYR', 'DAO', 'MYR', 'DAO', 'MYR']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",8,8,Yes,"1AYN_1_2, 1AYN_1_2, 1AYN_1_3, 1AYN_1_3, 1AYN_1_4, 1AYN_1_4, 1AYN_3_4, 1AYN_3_4","DAO, MYR, DAO, MYR, DAO, MYR, DAO, MYR"
88,1AYO,['1AYO_A_B'],['NAG'],[1.0],1,1,Yes,1AYO_A_B,NAG
89,1AZX,['1AZX_I_L'],['NAG'],[1.0],1,1,Yes,1AZX_I_L,NAG
90,1B41,['1B41_A_B'],['NAG'],[1.0],1,1,Yes,1B41_A_B,NAG
91,1B4K,['1B4K_A_B'],['SHF'],[0.0],1,1,No,1B4K_A_B,SHF
92,1B4U,['1B4U_A_B'],['DHB'],[0.0],1,1,No,1B4U_A_B,DHB
93,1B55,['1B55_A_B'],['4IP'],[0.0],1,1,No,1B55_A_B,4IP
94,1B57,['1B57_A_B'],['PGH'],[0.0],1,1,No,1B57_A_B,PGH
95,1B5D,['1B5D_A_B'],['DCM'],[1.0],1,1,Yes,1B5D_A_B,DCM
96,1B5E,['1B5E_A_B'],['DCM'],[1.0],1,1,Yes,1B5E_A_B,DCM
97,1B5F,"['1B5F_A_B', '1B5F_C_D']","['NAG', 'NAG']","[1.0, 1.0]",2,2,Yes,"1B5F_A_B, 1B5F_C_D","NAG, NAG"
98,1B5Q,"['1B5Q_A_B', '1B5Q_A_B', '1B5Q_A_B']","['FCA', 'NAG', 'MD2']","[0.0, 1.0, 0.0]",3,3,Yes,"1B5Q_A_B, 1B5Q_A_B, 1B5Q_A_B","FCA, NAG, MD2"
99,1B7A,['1B7A_A_B'],['OPE'],[0.0],1,1,No,1B7A_A_B,OPE
100,1B86,"['1B86_A_D', '1B86_B_C']","['OXY', 'OXY']","[1.0, 1.0]",2,2,Yes,"1B86_A_D, 1B86_B_C","OXY, OXY"
101,1B93,['1B93_A_C'],['FMT'],[1.0],1,1,Yes,1B93_A_C,FMT
102,1BBB,"['1BBB_A_B', '1BBB_A_C', '1BBB_A_D', '1BBB_B_C']","['CMO', 'CMO', 'CMO', 'CMO']","[0.0, 0.0, 0.0, 0.0]",4,4,No,"1BBB_A_B, 1BBB_A_C, 1BBB_A_D, 1BBB_B_C","CMO, CMO, CMO, CMO"
103,1BCR,['1BCR_A_B'],['NAG'],[1.0],1,1,Yes,1BCR_A_B,NAG
104,1BCS,"['1BCS_A_B', '1BCS_A_B', '1BCS_A_B']","['NAG', 'GOL', 'NDG']","[1.0, 1.0, 1.0]",3,3,Yes,"1BCS_A_B, 1BCS_A_B, 1BCS_A_B","NAG, GOL, NDG"
105,1BD4,"['1BD4_A_D', '1BD4_B_D']","['URA', 'URA']","[0.0, 0.0]",2,2,No,"1BD4_A_D, 1BD4_B_D","URA, URA"
106,1BDW,['1BDW_A_B'],['ACY'],[1.0],1,1,Yes,1BDW_A_B,ACY
107,1BE4,['1BE4_A_B'],['PCG'],[0.0],1,1,No,1BE4_A_B,PCG
108,1BEU,['1BEU_A_B'],['IPL'],[0.0],1,1,No,1BEU_A_B,IPL
109,1BEV,"['1BEV_1_2', '1BEV_1_3', '1BEV_1_4']","['MYR', 'MYR', 'MYR']","[1.0, 1.0, 1.0]",3,3,Yes,"1BEV_1_2, 1BEV_1_3, 1BEV_1_4","MYR, MYR, MYR"
110,1BHN,"['1BHN_A_B', '1BHN_A_C']","['35G', '35G']","[0.0, 0.0]",2,2,No,"1BHN_A_B, 1BHN_A_C","35G, 35G"
111,1BJQ,['1BJQ_A_C'],['ADE'],[1.0],1,1,Yes,1BJQ_A_C,ADE
112,1BKG,['1BKG_A_B'],['MAE'],[0.0],1,1,No,1BKG_A_B,MAE
113,1BKV,"['1BKV_A_B', '1BKV_A_C', '1BKV_B_C']","['ACY', 'ACY', 'ACY']","[1.0, 1.0, 1.0]",3,3,Yes,"1BKV_A_B, 1BKV_A_C, 1BKV_B_C","ACY, ACY, ACY"
114,1BM7,['1BM7_A_B'],['FLF'],[0.0],1,1,No,1BM7_A_B,FLF
115,1BMB,['1BMB_A_I'],['PTR'],[1.0],1,1,Yes,1BMB_A_I,PTR
116,1BND,['1BND_A_B'],['IPA'],[1.0],1,1,Yes,1BND_A_B,IPA
117,1BO4,['1BO4_A_B'],['SPD'],[1.0],1,1,Yes,1BO4_A_B,SPD
118,1BOS,"['1BOS_A_B', '1BOS_A_B', '1BOS_A_E', '1BOS_A_E']","['BGC', 'GLA', 'BGC', 'GLA']","[1.0, 0.0, 1.0, 0.0]",4,4,Yes,"1BOS_A_B, 1BOS_A_B, 1BOS_A_E, 1BOS_A_E","BGC, GLA, BGC, GLA"
119,1BPH,['1BPH_A_B'],['DCE'],[0.0],1,1,No,1BPH_A_B,DCE
120,1BQ1,"['1BQ1_A_B', '1BQ1_A_B']","['CB3', 'UMP']","[0.0, 1.0]",2,2,Yes,"1BQ1_A_B, 1BQ1_A_B","CB3, UMP"
121,1BQ3,['1BQ3_C_D'],['IHP'],[1.0],1,1,Yes,1BQ3_C_D,IHP
122,1BQH,['1BQH_G_H'],['NAG'],[1.0],1,1,Yes,1BQH_G_H,NAG
123,1BQM,['1BQM_A_B'],['HBY'],[0.0],1,1,No,1BQM_A_B,HBY
124,1BQN,['1BQN_A_B'],['HBY'],[0.0],1,1,No,1BQN_A_B,HBY
125,1BQU,['1BQU_A_B'],['GOL'],[1.0],1,1,Yes,1BQU_A_B,GOL
126,1BRR,"['1BRR_A_B', '1BRR_A_B', '1BRR_A_C', '1BRR_A_C', '1BRR_B_C', '1BRR_B_C']","['GOL', 'BGC', 'GOL', 'BGC', 'GOL', 'BGC']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,6,Yes,"1BRR_A_B, 1BRR_A_B, 1BRR_A_C, 1BRR_A_C, 1BRR_B_C, 1BRR_B_C","GOL, BGC, GOL, BGC, GOL, BGC"
127,1BRW,"['1BRW_A_B', '1BRW_A_B']","['MES', 'URA']","[1.0, 0.0]",2,2,Yes,"1BRW_A_B, 1BRW_A_B","MES, URA"
128,1BSX,['1BSX_A_X'],['T3'],[1.0],1,1,Yes,1BSX_A_X,T3
129,1BTM,['1BTM_A_B'],['PGA'],[0.0],1,1,No,1BTM_A_B,PGA
130,1BU6,['1BU6_O_Y'],['GOL'],[1.0],1,1,Yes,1BU6_O_Y,GOL
131,1BU7,['1BU7_A_B'],['EDO'],[1.0],1,1,Yes,1BU7_A_B,EDO
132,1BV7,['1BV7_A_B'],['XV6'],[0.0],1,1,No,1BV7_A_B,XV6
133,1BV9,['1BV9_A_B'],['XV6'],[0.0],1,1,No,1BV9_A_B,XV6
134,1BVY,"['1BVY_A_B', '1BVY_A_F']","['EDO', 'EDO']","[1.0, 1.0]",2,2,Yes,"1BVY_A_B, 1BVY_A_F","EDO, EDO"
135,1BWA,['1BWA_A_B'],['XV6'],[0.0],1,1,No,1BWA_A_B,XV6
136,1BWB,['1BWB_A_B'],['146'],[0.0],1,1,No,1BWB_A_B,146
137,1BWF,['1BWF_O_Y'],['GOL'],[1.0],1,1,Yes,1BWF_O_Y,GOL
138,1BWN,['1BWN_A_B'],['4IP'],[0.0],1,1,No,1BWN_A_B,4IP
139,1BX2,['1BX2_A_B'],['NAG'],[1.0],1,1,Yes,1BX2_A_B,NAG
140,1BYZ,['1BYZ_C_D'],['ETA'],[0.0],1,1,No,1BYZ_C_D,ETA
141,1C0T,['1C0T_A_B'],['BM1'],[0.0],1,1,No,1C0T_A_B,BM1
142,1C14,['1C14_A_B'],['TCL'],[1.0],1,1,Yes,1C14_A_B,TCL
143,1C1B,['1C1B_A_B'],['GCA'],[0.0],1,1,No,1C1B_A_B,GCA
144,1C1C,['1C1C_A_B'],['612'],[0.0],1,1,No,1C1C_A_B,612
145,1C1Y,['1C1Y_A_B'],['GTP'],[1.0],1,1,Yes,1C1Y_A_B,GTP
146,1C29,['1C29_A_B'],['HE1'],[0.0],1,1,No,1C29_A_B,HE1
147,1C3Q,"['1C3Q_A_B', '1C3Q_A_C', '1C3Q_B_C']","['TZE', 'TZE', 'TZE']","[0.0, 0.0, 0.0]",3,3,No,"1C3Q_A_B, 1C3Q_A_C, 1C3Q_B_C","TZE, TZE, TZE"
148,1C3R,['1C3R_A_B'],['TSN'],[1.0],1,1,Yes,1C3R_A_B,TSN
149,1C3V,['1C3V_A_B'],['PDC'],[0.0],1,1,No,1C3V_A_B,PDC
150,1C4D,"['1C4D_A_B', '1C4D_A_B', '1C4D_C_D', '1C4D_C_D']","['ETA', 'MOH', 'ETA', 'MOH']","[0.0, 0.0, 0.0, 0.0]",4,4,No,"1C4D_A_B, 1C4D_A_B, 1C4D_C_D, 1C4D_C_D","ETA, MOH, ETA, MOH"
151,1C4Q,"['1C4Q_A_B', '1C4Q_A_B', '1C4Q_A_E', '1C4Q_A_E', '1C4Q_B_C', '1C4Q_B_C', '1C4Q_C_D', '1C4Q_C_D', '1C4Q_D_E', '1C4Q_D_E']","['BGC', 'GLA', 'BGC', 'GLA', 'BGC', 'GLA', 'BGC', 'GLA', 'BGC', 'GLA']","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",10,10,Yes,"1C4Q_A_B, 1C4Q_A_B, 1C4Q_A_E, 1C4Q_A_E, 1C4Q_B_C, 1C4Q_B_C, 1C4Q_C_D, 1C4Q_C_D, 1C4Q_D_E, 1C4Q_D_E","BGC, GLA, BGC, GLA, BGC, GLA, BGC, GLA, BGC, GLA"
152,1C5C,['1C5C_H_L'],['GOL'],[1.0],1,1,Yes,1C5C_H_L,GOL
153,1C5E,['1C5E_A_C'],['GOL'],[1.0],1,1,Yes,1C5E_A_C,GOL
154,1C6Y,['1C6Y_A_B'],['MK1'],[1.0],1,1,Yes,1C6Y_A_B,MK1
155,1C6Z,['1C6Z_A_B'],['ROC'],[1.0],1,1,Yes,1C6Z_A_B,ROC
156,1C70,['1C70_A_B'],['L75'],[0.0],1,1,No,1C70_A_B,L75
157,1C7Z,['1C7Z_A_B'],['G3H'],[1.0],1,1,Yes,1C7Z_A_B,G3H
158,1C80,['1C80_A_B'],['GTP'],[1.0],1,1,Yes,1C80_A_B,GTP
159,1C8M,"['1C8M_1_2', '1C8M_1_3', '1C8M_1_4']","['W11', 'W11', 'W11']","[0.0, 0.0, 0.0]",3,3,No,"1C8M_1_2, 1C8M_1_3, 1C8M_1_4","W11, W11, W11"
160,1C8U,['1C8U_A_B'],['LDA'],[1.0],1,1,Yes,1C8U_A_B,LDA
161,1C8V,['1C8V_A_B'],['HE1'],[0.0],1,1,No,1C8V_A_B,HE1
162,1C9K,['1C9K_A_B'],['5GP'],[1.0],1,1,Yes,1C9K_A_B,5GP
163,1C9U,['1C9U_A_B'],['GOL'],[1.0],1,1,Yes,1C9U_A_B,GOL
164,1CA7,"['1CA7_A_B', '1CA7_A_C']","['ENO', 'ENO']","[0.0, 0.0]",2,2,No,"1CA7_A_B, 1CA7_A_C","ENO, ENO"
165,1CAG,['1CAG_A_B'],['ACY'],[1.0],1,1,Yes,1CAG_A_B,ACY
166,1CB7,['1CB7_A_B'],['TAR'],[1.0],1,1,Yes,1CB7_A_B,TAR
167,1CBM,"['1CBM_A_B', '1CBM_A_C', '1CBM_A_D']","['CMO', 'CMO', 'CMO']","[0.0, 0.0, 0.0]",3,3,No,"1CBM_A_B, 1CBM_A_C, 1CBM_A_D","CMO, CMO, CMO"
168,1CBR,['1CBR_A_B'],['REA'],[0.0],1,1,No,1CBR_A_B,REA
169,1CCW,['1CCW_A_B'],['TAR'],[1.0],1,1,Yes,1CCW_A_B,TAR
170,1CE7,['1CE7_A_B'],['NAG'],[1.0],1,1,Yes,1CE7_A_B,NAG
171,1CE8,"['1CE8_A_B', '1CE8_A_B', '1CE8_A_B', '1CE8_A_G', '1CE8_A_G', '1CE8_A_G']","['IMP', 'NET', 'ORN', 'IMP', 'NET', 'ORN']","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",6,6,Yes,"1CE8_A_B, 1CE8_A_B, 1CE8_A_B, 1CE8_A_G, 1CE8_A_G, 1CE8_A_G","IMP, NET, ORN, IMP, NET, ORN"
172,1CEA,['1CEA_A_B'],['ACA'],[1.0],1,1,Yes,1CEA_A_B,ACA
173,1CF4,['1CF4_A_B'],['GNP'],[1.0],1,1,Yes,1CF4_A_B,GNP
174,1CFN,"['1CFN_A_B', '1CFN_B_C']","['NLE', 'NLE']","[0.0, 0.0]",2,2,No,"1CFN_A_B, 1CFN_B_C","NLE, NLE"
175,1CG8,['1CG8_A_B'],['CMO'],[0.0],1,1,No,1CG8_A_B,CMO
176,1CGD,"['1CGD_A_B', '1CGD_A_C', '1CGD_B_C']","['ACY', 'ACY', 'ACY']","[1.0, 1.0, 1.0]",3,3,Yes,"1CGD_A_B, 1CGD_A_C, 1CGD_B_C","ACY, ACY, ACY"
177,1CGP,['1CGP_A_B'],['CMP'],[1.0],1,1,Yes,1CGP_A_B,CMP
178,1CH4,"['1CH4_A_C', '1CH4_A_D']","['CMO', 'CMO']","[0.0, 0.0]",2,2,No,"1CH4_A_C, 1CH4_A_D","CMO, CMO"
179,1CI6,['1CI6_A_B'],['BME'],[1.0],1,1,Yes,1CI6_A_B,BME
180,1CI7,"['1CI7_A_B', '1CI7_A_B']","['CB3', 'UMP']","[0.0, 1.0]",2,2,Yes,"1CI7_A_B, 1CI7_A_B","CB3, UMP"
181,1CJF,['1CJF_A_C'],['HOM'],[0.0],1,1,No,1CJF_A_C,HOM
182,1CJK,"['1CJK_A_B', '1CJK_A_B', '1CJK_A_B', '1CJK_B_C', '1CJK_B_C', '1CJK_B_C']","['GSP', 'MES', 'FOK', 'GSP', 'MES', 'FOK']","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",6,6,Yes,"1CJK_A_B, 1CJK_A_B, 1CJK_A_B, 1CJK_B_C, 1CJK_B_C, 1CJK_B_C","GSP, MES, FOK, GSP, MES, FOK"
183,1CJT,"['1CJT_A_B', '1CJT_A_B', '1CJT_A_B', '1CJT_B_C', '1CJT_B_C', '1CJT_B_C']","['GSP', 'MES', 'FOK', 'GSP', 'MES', 'FOK']","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",6,6,Yes,"1CJT_A_B, 1CJT_A_B, 1CJT_A_B, 1CJT_B_C, 1CJT_B_C, 1CJT_B_C","GSP, MES, FOK, GSP, MES, FOK"
184,1CJU,"['1CJU_A_B', '1CJU_A_B', '1CJU_B_C', '1CJU_B_C']","['GSP', 'FOK', 'GSP', 'FOK']","[1.0, 0.0, 1.0, 0.0]",4,4,Yes,"1CJU_A_B, 1CJU_A_B, 1CJU_B_C, 1CJU_B_C","GSP, FOK, GSP, FOK"
